receipt_file,store,semantic_file_exists,items_generated_success,gt_item_count,generated_item_count,item_count_match,required_field_complete_item_count,required_field_incomplete_item_count,required_field_completion_rate,core_match_count,core_match_rate_over_gt,qty_match_count,qty_match_rate_over_gt,final_price_match_count,final_price_match_rate_over_gt,semantic_path
043_hanaro.json,hanaro,True,True,7,7,True,7,0,100.0,6,85.7,7,100.0,6,85.7,data\semantic\hanaro\043_hanaro.json
044_hanaro.json,hanaro,True,True,17,15,False,15,0,100.0,0,0.0,15,88.2,0,0.0,data\semantic\hanaro\044_hanaro.json
045_hanaro.json,hanaro,True,True,11,7,False,7,0,100.0,0,0.0,5,45.5,0,0.0,data\semantic\hanaro\045_hanaro.json
046_hanaro.json,hanaro,True,True,5,5,True,5,0,100.0,3,60.0,3,60.0,5,100.0,data\semantic\hanaro\046_hanaro.json
047_hanaro.json,hanaro,True,True,6,6,True,6,0,100.0,6,100.0,6,100.0,6,100.0,data\semantic\hanaro\047_hanaro.json
048_hanaro.json,hanaro,True,True,6,6,True,6,0,100.0,6,100.0,6,100.0,6,100.0,data\semantic\hanaro\048_hanaro.json
049_hanaro.json,hanaro,True,True,6,6,True,6,0,100.0,6,100.0,6,100.0,6,100.0,data\semantic\hanaro\049_hanaro.json
050_hanaro.json,hanaro,True,True,1,1,True,1,0,100.0,0,0.0,1,100.0,0,0.0,data\semantic\hanaro\050_hanaro.json
051_hanaro.json,hanaro,True,True,2,2,True,2,0,100.0,2,100.0,2,100.0,2,100.0,data\semantic\hanaro\051_hanaro.json
052_hanaro.json,hanaro,True,True,10,10,True,10,0,100.0,9,90.0,10,100.0,9,90.0,data\semantic\hanaro\052_hanaro.json
053_hanaro.json,hanaro,True,True,1,1,True,1,0,100.0,1,100.0,1,100.0,1,100.0,data\semantic\hanaro\053_hanaro.json
054_hanaro.json,hanaro,True,True,6,6,True,6,0,100.0,6,100.0,6,100.0,6,100.0,data\semantic\hanaro\054_hanaro.json
055_hanaro.json,hanaro,True,True,15,15,True,15,0,100.0,15,100.0,15,100.0,15,100.0,data\semantic\hanaro\055_hanaro.json
056_hanaro.json,hanaro,True,True,4,4,True,4,0,100.0,4,100.0,4,100.0,4,100.0,data\semantic\hanaro\056_hanaro.json
057_hanaro.json,hanaro,True,True,1,1,True,1,0,100.0,1,100.0,1,100.0,1,100.0,data\semantic\hanaro\057_hanaro.json
058_hanaro.json,hanaro,True,True,2,2,True,2,0,100.0,2,100.0,2,100.0,2,100.0,data\semantic\hanaro\058_hanaro.json
059_hanaro.json,hanaro,True,True,4,4,True,4,0,100.0,4,100.0,4,100.0,4,100.0,data\semantic\hanaro\059_hanaro.json
060_hanaro.json,hanaro,True,True,6,6,True,6,0,100.0,6,100.0,6,100.0,6,100.0,data\semantic\hanaro\060_hanaro.json
061_hanaro.json,hanaro,True,True,7,7,True,7,0,100.0,7,100.0,7,100.0,7,100.0,data\semantic\hanaro\061_hanaro.json
062_hanaro.json,hanaro,True,True,9,9,True,9,0,100.0,9,100.0,9,100.0,9,100.0,data\semantic\hanaro\062_hanaro.json
063_hanaro.json,hanaro,True,True,11,11,True,11,0,100.0,11,100.0,11,100.0,11,100.0,data\semantic\hanaro\063_hanaro.json
064_hanaro.json,hanaro,True,True,10,10,True,10,0,100.0,10,100.0,10,100.0,10,100.0,data\semantic\hanaro\064_hanaro.json
065_hanaro.json,hanaro,True,True,6,5,False,5,0,100.0,1,16.7,5,83.3,1,16.7,data\semantic\hanaro\065_hanaro.json
066_hanaro.json,hanaro,True,True,10,10,True,10,0,100.0,10,100.0,10,100.0,10,100.0,data\semantic\hanaro\066_hanaro.json
067_hanaro.json,hanaro,True,True,4,4,True,4,0,100.0,4,100.0,4,100.0,4,100.0,data\semantic\hanaro\067_hanaro.json
068_hanaro.json,hanaro,True,True,4,4,True,4,0,100.0,4,100.0,4,100.0,4,100.0,data\semantic\hanaro\068_hanaro.json
069_hanaro.json,hanaro,True,True,3,3,True,3,0,100.0,3,100.0,3,100.0,3,100.0,data\semantic\hanaro\069_hanaro.json
070_hanaro.json,hanaro,True,True,8,8,True,8,0,100.0,8,100.0,8,100.0,8,100.0,data\semantic\hanaro\070_hanaro.json
071_hanaro.json,hanaro,True,True,9,9,True,9,0,100.0,8,88.9,8,88.9,9,100.0,data\semantic\hanaro\071_hanaro.json
072_hanaro.json,hanaro,True,True,1,1,True,1,0,100.0,1,100.0,1,100.0,1,100.0,data\semantic\hanaro\072_hanaro.json
073_hanaro.json,hanaro,True,True,7,6,False,6,0,100.0,3,42.9,6,85.7,3,42.9,data\semantic\hanaro\073_hanaro.json
074_hanaro.json,hanaro,True,True,3,3,True,3,0,100.0,3,100.0,3,100.0,3,100.0,data\semantic\hanaro\074_hanaro.json
075_hanaro.json,hanaro,True,True,4,4,True,4,0,100.0,4,100.0,4,100.0,4,100.0,data\semantic\hanaro\075_hanaro.json
076_hanaro.json,hanaro,True,True,2,2,True,2,0,100.0,1,50.0,1,50.0,2,100.0,data\semantic\hanaro\076_hanaro.json
